year,age,sex,people
10,10,1,4725
10,20,1,5967
10,30,1,3189
10,40,1,1516
10,50,1,948
10,60,1,520
10,70,1,362
10,80,1,308
10,90,1,230
10,100,1,296
10,110,1,102
10,120,1,149
10,130,1,179
10,140,1,125
10,150,1,183
10,160,1,105
10,170,1,87
10,180,1,147
10,190,1,83
10,200,1,163
20,20,1,10692
20,40,1,4705
20,60,1,1468
20,80,1,670
20,100,1,526
20,120,1,251
20,140,1,304
20,160,1,288
20,180,1,234
20,200,1,246
20,220,1,82
20,240,1,86
20,260,1,111
20,280,1,74
20,300,1,116
20,320,1,20
20,340,1,21
20,360,1,57
20,380,1,24
20,400,1,77